date,averageDormancy
2009-01-12,0.9505
2009-01-14,1.257
2009-01-15,1.3585
2009-01-16,2.0434
2009-01-18,2.2405
2009-01-19,3.9743
2009-01-20,3.7678
2009-01-21,3.5249
2009-01-22,3.935
2009-01-23,3.6335
2009-01-24,4.7307
2009-01-25,1.7769
2009-01-26,3.0587
2009-01-27,1.8749
2009-01-29,2.4975
2009-01-31,12.3107
2009-02-01,1.151
2009-02-02,17.3622
2009-02-03,1.1964
2009-02-07,9.171
2009-02-08,7.8633
2009-02-09,6.1923
2009-02-11,2.1788
2009-02-15,4.111
2009-02-16,4.2162
2009-02-19,3.2059
2009-02-22,1.889
2009-02-27,5.5244
2009-02-28,3.8198
2009-03-03,4.0276
2009-03-04,4.1569
2009-03-05,2.3305
2009-03-08,3.5968
2009-03-12,3.6503
2009-03-13,3.6838
2009-03-16,8.0102
2009-03-18,3.9675
2009-03-20,2.542
2009-03-22,7.3417
2009-03-26,4.146
2009-03-28,4.747
2009-03-31,3.3653
2009-04-05,3.9988
2009-04-11,2.7352
2009-04-12,4.0201
2009-04-13,1.0725
2009-04-18,16.0119
2009-04-19,6.8024
2009-04-20,17.8007
2009-04-21,3.4893
2009-04-26,4.2186
2009-04-29,5.3004
2009-05-02,6.5002
2009-05-03,0.7616
2009-05-04,3.6828
2009-05-05,2.5337
2009-05-11,1.9129
2009-05-13,3.1238
2009-05-14,2.2136
2009-05-15,8.0634
2009-05-29,8.8611
2009-06-01,42.0307
2009-06-22,15.2402
2009-06-24,43.4457
2009-06-25,6.9546
2009-06-28,1.6806
2009-06-29,1.9705
2009-06-30,1.5401
2009-07-01,1.5999
2009-07-02,2.1962
2009-07-20,16.2933
2009-07-29,3.1224
2009-07-30,5.9599
2009-08-07,12.2369
2009-08-26,16.8092
2009-08-30,1.4694
2009-08-31,2.2766
2009-09-03,3.5226
2009-09-07,2.5268
2009-09-16,20.871
2009-09-17,12.1741
2009-09-21,9.4917
2009-09-22,9.7763
2009-09-25,2.9288
2009-09-27,1.8745
2009-09-29,3.1422
2009-10-02,4.1606
2009-10-06,3.4594
2009-10-12,64.7459
2009-10-16,5.8436
2009-10-18,2.7522
2009-10-20,13.1658
2009-10-21,11.1805
2009-10-22,5.9414
2009-10-24,2.2081
2009-10-27,2.663
2009-10-29,5.3079
2009-11-04,8.0792
2009-11-11,1.2047
2009-11-13,2.8477
2009-11-19,4.0414
2009-12-01,110.8833
2009-12-05,10.2271
2009-12-06,1.68
2009-12-08,2.0104
2009-12-09,1.2348
2009-12-12,2.7121
2009-12-14,6.3508
2009-12-15,3.1543
2009-12-16,2.4601
2009-12-17,139.4608
2009-12-19,3.2785
2009-12-21,3.0802
2009-12-25,74.254
2009-12-27,5.3963
2010-01-01,1.5575
2010-01-04,20.8764
2010-01-12,44.7652
2010-01-13,35.3976
2010-01-14,14.3584
2010-01-15,3.82
2010-01-16,4.9941
2010-01-18,4.6394
2010-01-21,0.2357
2010-01-22,0.9517
2010-01-23,1.0142
2010-01-24,1.1702
2010-01-25,2.7644
