date,asol
2012-01-01,17.38
2012-01-02,22.06
2012-01-03,16.18
2012-01-04,24.45
2012-01-05,28.18
2012-01-06,29.2
2012-01-07,38.86
2012-01-08,31.72
2012-01-09,30.06
2012-01-10,76.1
2012-01-11,56.22
2012-01-12,20.78
2012-01-13,14.51
2012-01-14,13.32
2012-01-15,14.02
2012-01-16,21.2
2012-01-17,13.83
2012-01-18,17.55
2012-01-19,17.43
2012-01-20,14.11
2012-01-21,24.77
2012-01-22,13.49
2012-01-23,10.09
2012-01-24,18.91
2012-01-25,14.31
2012-01-26,12.84
2012-01-27,17.81
2012-01-28,12.75
2012-01-29,11.02
2012-01-30,10.99
2012-01-31,15.54
2012-02-01,10.42
2012-02-02,14.23
2012-02-03,13.22
2012-02-04,13.13
2012-02-05,10.45
2012-02-06,9.55
2012-02-07,8.45
2012-02-08,10.17
2012-02-09,16.17
2012-02-10,8.65
2012-02-11,11.33
2012-02-12,10.99
2012-02-13,7.64
2012-02-14,10.33
2012-02-15,9.66
2012-02-16,15.09
2012-02-17,13.12
2012-02-18,13.66
2012-02-19,14.16
2012-02-20,14.81
2012-02-21,12.53
2012-02-22,11.18
2012-02-23,13.3
2012-02-24,16.96
2012-02-25,10.35
2012-02-26,15.75
2012-02-27,12.41
2012-02-28,10.67
2012-02-29,11.07
2012-03-01,16.36
2012-03-02,17.01
2012-03-03,9.49
2012-03-04,14.31
2012-03-05,19.15
2012-03-06,16.42
2012-03-07,9.67
2012-03-08,10.37
2012-03-09,9.54
2012-03-10,40.64
2012-03-11,16.6
2012-03-12,12.37
2012-03-13,29.42
2012-03-14,22.72
2012-03-15,13.45
2012-03-16,16.22
2012-03-17,19.22
2012-03-18,13.86
2012-03-19,12.14
2012-03-20,14.45
2012-03-21,14.88
2012-03-22,17.08
2012-03-23,15.18
2012-03-24,16.54
2012-03-25,13.41
2012-03-26,11.11
2012-03-27,13.62
2012-03-28,14.91
2012-03-29,11.99
2012-03-30,12.41
2012-03-31,18.19
2012-04-01,11.28
2012-04-02,13.8
2012-04-03,18.22
2012-04-04,14.3
2012-04-05,15.65
2012-04-06,22.03
2012-04-07,12.06
2012-04-08,16.0
2012-04-09,10.06
2012-04-10,11.12
2012-04-11,13.21
2012-04-12,14.62
2012-04-13,19.1
2012-04-14,12.83
2012-04-15,13.54
2012-04-16,15.96
2012-04-17,14.2
2012-04-18,14.18
2012-04-19,15.2
2012-04-20,18.88
2012-04-21,17.57
2012-04-22,22.46
2012-04-23,17.34
2012-04-24,18.38
2012-04-25,15.09
2012-04-26,9.73
2012-04-27,17.77
2012-04-28,11.55
2012-04-29,11.46
2012-04-30,14.46
2012-05-01,13.72
2012-05-02,15.11
2012-05-03,8.7
2012-05-04,10.05
2012-05-05,6.27
2012-05-06,13.16
2012-05-07,8.56
2012-05-08,5.92
2012-05-09,8.8
2012-05-10,8.93
2012-05-11,6.99
2012-05-12,4.97
2012-05-13,6.69
2012-05-14,4.29
2012-05-15,6.74
2012-05-16,7.06
2012-05-17,9.52
2012-05-18,5.47
2012-05-19,4.45
2012-05-20,3.94
2012-05-21,3.13
2012-05-22,5.67
2012-05-23,4.75
2012-05-24,4.42
2012-05-25,3.83
2012-05-26,5.52
2012-05-27,5.52
2012-05-28,5.17
2012-05-29,6.0
2012-05-30,5.96
2012-05-31,7.78
2012-06-01,7.53
2012-06-02,10.18
2012-06-03,4.66
2012-06-04,5.04
2012-06-05,3.5
2012-06-06,9.52
2012-06-07,4.58
2012-06-08,8.91
2012-06-09,3.86
2012-06-10,3.32
2012-06-11,4.77
2012-06-12,7.51
2012-06-13,3.23
2012-06-14,2.03
2012-06-15,2.89
2012-06-16,5.58
2012-06-17,3.54
2012-06-18,5.25
2012-06-19,5.34
2012-06-20,3.88
2012-06-21,3.95
2012-06-22,5.62
2012-06-23,4.34
2012-06-24,10.77
2012-06-25,4.94
2012-06-26,6.46
2012-06-27,8.67
2012-06-28,7.16
2012-06-29,10.7
2012-06-30,8.92
2012-07-01,7.14
2012-07-02,8.23
2012-07-03,9.38
2012-07-04,6.02
2012-07-05,7.07
2012-07-06,8.33
2012-07-07,5.88
2012-07-08,8.73
2012-07-09,5.34
2012-07-10,9.23
2012-07-11,5.13
2012-07-12,6.77
2012-07-13,8.2
2012-07-14,7.1
2012-07-15,6.53
2012-07-16,7.29
2012-07-17,9.92
2012-07-18,8.32
2012-07-19,9.28
2012-07-20,6.9
2012-07-21,5.12
