date,cdd
2023-07-07,4399692.14
2023-03-31,15126048.19
2022-11-28,9739824.62
2023-04-01,4526256.49
2022-11-29,8501369.77
2023-04-02,2630964.33
2023-07-11,12457410.04
2016-10-25,7831808.55
2023-04-21,6762747.21
2023-04-23,3201933.42
2021-12-04,8370413.18
2023-07-12,6933229.17
2021-11-19,7382594.01
2022-12-03,3141516.68
2021-11-18,6994532.93
2022-03-07,14122261.07
2022-03-13,3734157.77
2021-11-17,17076973.04
2022-03-23,5681779.79
2022-04-30,4379927.23
2022-05-04,10494897.75
2022-05-30,6082224.88
2022-06-04,8060241.25
2022-07-19,41134697.73
2022-07-20,9609003.36
2022-07-24,2935579.63
2022-07-28,3850971.37
2022-07-29,4617012.13
2022-09-22,4737607.0
2022-09-26,4669481.21
2023-06-14,9219634.45
2022-10-26,19296391.99
2022-10-27,12449072.85
2022-10-31,6355072.57
2022-11-24,8826635.79
2021-11-11,10691245.22
2022-12-07,5344836.38
2023-02-06,4393932.31
2023-02-07,3911665.54
2023-02-13,4934912.84
2021-12-08,7288885.19
2023-02-15,6415994.32
2023-07-17,10298116.07
2023-02-16,6641981.59
2023-06-15,9659474.38
2023-02-20,2965611.56
2017-05-21,11371596.93
2016-05-10,8857136.25
2015-08-13,4040804.37
2023-06-16,6319160.08
2012-11-24,1640048.28
2024-06-21,11147243.06
2023-07-18,11454871.0
2023-07-19,9573357.72
2023-07-28,61339501.55
2022-11-03,8111228.74
2022-01-10,7366856.87
2022-01-09,3613345.36
2023-02-18,2307791.49
2022-01-17,6544484.72
2022-06-08,8026900.46
2022-05-07,2574458.47
2023-03-30,91213768.49
2016-05-17,50224250.25
2022-12-11,4771334.69
2022-09-24,1558911.88
2022-09-29,6084241.98
2023-04-20,5152158.21
2024-08-14,5313405.5
2021-11-20,6296618.27
2021-11-24,7465143.13
2021-12-06,10435452.66
2024-08-10,16209594.41
2022-12-12,5748391.43
2021-12-12,2642113.73
2021-11-16,22318814.51
2017-06-07,9937968.57
2022-03-15,6168843.65
2022-03-27,2983504.62
2023-04-28,5748031.41
2022-03-30,4908800.64
2012-12-10,4987028.95
2023-07-20,7397392.0
2022-05-06,9775669.42
2023-06-21,21629514.99
2024-07-15,10137313.34
2022-06-06,5902886.29
2023-07-21,9505470.4
2023-06-13,9010645.95
2022-06-07,13500641.02
2023-04-25,5099102.89
2022-07-26,6159409.01
2022-07-30,2475279.85
2022-07-31,4770988.95
2022-08-01,3387905.32
2022-08-03,4406927.01
2022-09-30,8604217.14
2022-10-03,4417340.58
2022-11-02,18257688.51
2023-04-24,5372177.45
2022-11-04,38348527.59
2022-12-06,7716839.0
2023-02-09,6848190.88
2023-02-14,3136930.55
2023-02-22,7653582.93
2023-02-23,4039907.82
2023-02-24,9370965.65
2023-04-03,7126617.52
2023-04-04,9749023.75
2023-04-07,8053178.62
2022-04-01,7513944.07
2021-11-26,11254310.35
2022-04-03,4973751.09
2022-10-04,5426435.56
2021-12-18,5380645.0
2023-02-28,14408685.17
2022-05-13,29986527.09
2022-01-18,5890842.88
2022-11-09,26458268.21
2022-06-13,29992257.49
2023-03-01,14584547.45
2022-01-16,2975662.86
2021-11-27,2877604.51
2021-12-09,14255182.75
2023-08-15,6785199.87
2016-05-29,13008031.67
2021-12-15,8179244.67
2021-12-17,6186751.71
2021-12-19,3214106.46
2022-01-15,2419054.99
2022-01-08,3340160.23
2017-06-18,22387901.32
2021-11-25,41200427.4
2012-12-27,1504815.04
2023-06-25,5909183.31
2023-06-24,5520082.76
2023-06-22,7174441.58
2022-03-22,4977872.98
2022-03-31,8411398.42
2022-05-05,8605838.69
2022-05-15,3145283.32
2022-06-05,2458990.6
2022-06-12,7647490.02
2022-06-14,23638847.22
2022-06-15,24182454.09
2022-08-04,10329781.32
2022-08-05,3123990.85
2022-08-07,4015909.04
2022-09-27,11332785.91
2023-05-01,4596523.2
2022-10-05,7507956.74
2022-11-08,13906201.74
2022-11-10,16758468.34
2022-11-11,47377058.6
2022-12-15,5526569.81
2022-12-16,8184258.87
2022-12-17,6021007.69
2023-02-12,3872001.21
2023-02-21,5162956.07
2023-03-02,5206975.33
2023-03-03,5661235.88
2023-04-10,7768798.98
2023-04-11,20554568.4
2023-04-29,10225754.74
2023-04-30,2251079.83
2023-07-23,3683459.54
2021-12-16,10812165.85
2023-04-06,10060211.64
2023-06-20,17450045.6
2022-01-19,9868399.83
2022-05-10,12029029.93
2023-04-12,18744786.27
2023-04-26,5835508.36
2025-01-18,14078834.16
2023-04-27,5154843.39
2023-05-04,5301264.17
2024-11-02,7050983.79
2022-05-16,8106695.51
2022-05-17,10938422.67
2022-06-09,7775773.64
2022-06-10,11227672.99
2023-06-19,10723161.61
2021-11-23,10225509.54
2022-06-16,10515914.72
2022-08-02,5948458.07
2022-10-02,2078259.1
2022-10-09,1727747.74
2022-11-05,9191909.59
2022-11-06,8998361.43
2022-10-01,2333611.88
2021-11-30,9404798.51
2022-12-13,11125394.47
2022-12-14,12893083.0
2022-12-19,14191587.72
2022-12-20,4218723.66
2023-02-25,3395121.85
2023-02-26,3509317.86
2023-03-05,10126239.86
2023-06-27,10099220.16
2023-07-22,7017966.21
2013-01-01,2156907.55
2016-08-17,4354119.78
2018-07-16,5967955.38
2021-11-22,10247797.22
2021-12-13,9631282.92
2021-12-14,20093592.21
2022-08-08,4495307.08
2017-12-29,16889352.94
2022-01-20,9454031.9
2022-08-09,10077631.35
2022-05-09,19100526.22
2022-03-20,2583602.87
2022-03-28,9941295.8
2022-04-05,8080708.79
2022-01-13,4045161.28
