date,exchangeOutflowBtc
2012-04-02,0.0
2012-04-03,0.0
2012-04-04,0.0
2012-04-05,0.0
2012-04-06,0.0
2012-04-07,0.0
2012-04-08,0.0
2012-04-09,0.0
2012-04-10,0.0
2012-04-11,0.0
2012-04-12,0.0
2012-04-13,0.0
2012-04-14,0.0
2012-04-15,0.0
2012-04-16,0.0
2012-04-17,0.0
2012-04-18,0.0
2012-04-19,0.0
2012-04-20,0.0
2012-04-21,0.0
2012-04-22,0.0
2012-04-23,0.0
2012-04-24,0.0
2012-04-25,0.0
2012-04-26,0.0
2012-04-27,0.0
2012-04-28,0.0
2012-04-29,0.0
2012-04-30,0.0
2012-05-01,0.0
2012-05-02,0.0
2012-05-03,0.0
2012-05-04,0.0
2012-05-05,0.0
2012-05-06,0.0
2012-05-07,0.0
2012-05-08,0.0
2012-05-09,0.0
2012-05-10,0.0
2012-05-11,0.0
2012-05-12,0.0
2012-05-13,0.0
2012-05-14,0.0
2012-05-15,0.0
2012-05-16,0.0
2012-05-17,0.0
2012-05-18,0.0
2012-05-19,10.0
2012-05-20,130.45
2012-05-21,0.0
2012-05-22,0.0
2012-05-23,0.0
2012-05-24,0.0
2012-05-25,603.9876
2012-05-26,0.0
2012-05-27,0.0
2012-05-28,0.0
2012-05-29,0.0
2012-05-30,0.0
2012-05-31,0.0
2012-06-01,0.0
2012-06-02,0.0
2012-06-03,0.0
2012-06-04,0.0
2012-06-05,0.0
2012-06-06,0.0
2012-06-07,0.0
2012-06-08,0.0
2012-06-09,0.0
2012-06-10,0.0
2012-06-11,0.0
2012-06-12,0.0
2012-06-13,0.0
2012-06-14,0.0
2012-06-15,0.0
2012-06-16,0.0
2012-06-17,0.0
2012-06-18,0.0
2012-06-19,0.0
2012-06-20,0.0
2012-06-21,0.0
2012-06-22,0.0
2012-06-23,0.0
2012-06-24,0.0
2012-06-25,0.0
2012-06-26,4791.0384
2012-06-27,0.0
2012-06-28,4.1
2012-06-29,0.0
2012-06-30,0.0
2012-07-01,0.0
2012-07-02,0.0
2012-07-03,0.0
2012-07-04,0.0
2012-07-05,9.1
2012-07-06,10.101
2012-07-07,1.8605
2012-07-08,11.71
2012-07-09,4.635
2012-07-10,0.0321
2012-07-11,0.001
2012-07-12,28.075
2012-07-13,0.7285
2012-07-14,0.0045
2012-07-15,0.0
2012-07-16,0.0015
2012-07-17,0.1005
2012-07-18,0.0
2012-07-19,0.105
2012-07-20,0.0
2012-07-21,0.0
2012-07-22,0.017
2012-07-23,0.0
2012-07-24,0.0
2012-07-25,7.0
2012-07-26,0.0
2012-07-27,0.1065
2012-07-28,0.0
2012-07-29,0.0
2012-07-30,0.0405
2012-07-31,0.0
2012-08-01,0.0
2012-08-02,0.001
2012-08-03,0.16
2012-08-04,0.003
2012-08-05,0.0905
2012-08-06,0.04096238
2012-08-07,0.0
2012-08-08,0.0
2012-08-09,0.0
2012-08-10,0.0
2012-08-11,0.08
2012-08-12,0.1001
2012-08-13,0.0
2012-08-14,0.2045
2012-08-15,8.68288
2012-08-16,2.21408
2012-08-17,14.67346308
2012-08-18,15.76313896
2012-08-19,12.82114
2012-08-20,1.26392
2012-08-21,3.76238
2012-08-22,0.2403712
2012-08-23,0.57230285
2012-08-24,0.0015
2012-08-25,1.74031285
2012-08-26,0.814
2012-08-27,2.48562338
2012-08-28,0.24812
2012-08-29,0.1065
2012-08-30,2.81439532
2012-08-31,0.01848
2012-09-01,5.94928
2012-09-02,0.5376
2012-09-03,0.13663042
2012-09-04,0.14248
2012-09-05,0.14529581
2012-09-06,2.0876903
2012-09-07,26.76041261
2012-09-08,0.51174772
2012-09-09,0.16844819
2012-09-10,0.20575
2012-09-11,0.18394961
2012-09-12,0.12449
2012-09-13,0.0017
2012-09-14,0.0073
2012-09-15,0.00423412
2012-09-16,1.85365522
2012-09-17,0.17080827
2012-09-18,38.10859097
2012-09-19,76.80467322
2012-09-20,0.00752767
