date,sma30,sma60,hashribbons
2012-01-01,8.29,8.22,Up
2012-01-02,8.31,8.24,Up
2012-01-03,8.37,8.25,Up
2012-01-04,8.37,8.25,Up
2012-01-05,8.34,8.25,Up
2012-01-06,8.42,8.28,Up
2012-01-07,8.48,8.31,Up
2012-01-08,8.53,8.31,Up
2012-01-09,8.61,8.34,Up
2012-01-10,8.63,8.36,Up
2012-01-11,8.71,8.38,Up
2012-01-12,8.78,8.4,Up
2012-01-13,8.78,8.4,Up
2012-01-14,8.88,8.39,Up
2012-01-15,8.94,8.4,Up
2012-01-16,9.01,8.45,Up
2012-01-17,9.06,8.48,Up
2012-01-18,9.03,8.49,Up
2012-01-19,9.08,8.5,Up
2012-01-20,9.09,8.54,Up
2012-01-21,9.15,8.57,Up
2012-01-22,9.17,8.58,Up
2012-01-23,9.26,8.66,Up
2012-01-24,9.23,8.67,Up
2012-01-25,9.21,8.72,Up
2012-01-26,9.23,8.75,Up
2012-01-27,9.24,8.78,Up
2012-01-28,9.29,8.81,Up
2012-01-29,9.38,8.84,Up
2012-01-30,9.46,8.86,Up
2012-01-31,9.49,8.89,Up
2012-02-01,9.51,8.91,Up
2012-02-02,9.55,8.96,Up
2012-02-03,9.6,8.99,Up
2012-02-04,9.67,9.01,Up
2012-02-05,9.67,9.04,Up
2012-02-06,9.65,9.06,Up
2012-02-07,9.64,9.09,Up
2012-02-08,9.63,9.12,Up
2012-02-09,9.67,9.15,Up
2012-02-10,9.67,9.19,Up
2012-02-11,9.69,9.24,Up
2012-02-12,9.76,9.27,Up
2012-02-13,9.77,9.32,Up
2012-02-14,9.79,9.37,Up
2012-02-15,9.74,9.38,Up
2012-02-16,9.73,9.4,Up
2012-02-17,9.81,9.42,Up
2012-02-18,9.89,9.48,Up
2012-02-19,9.95,9.52,Up
2012-02-20,9.93,9.54,Up
2012-02-21,9.93,9.55,Up
2012-02-22,9.92,9.59,Up
2012-02-23,10.0,9.62,Up
2012-02-24,10.02,9.62,Up
2012-02-25,10.1,9.67,Up
2012-02-26,10.13,9.69,Up
2012-02-27,10.17,9.73,Up
2012-02-28,10.17,9.78,Up
2012-02-29,10.21,9.84,Up
2012-03-01,10.23,9.86,Up
2012-03-02,10.24,9.88,Up
2012-03-03,10.18,9.86,Up
2012-03-04,10.18,9.89,Up
2012-03-05,10.19,9.93,Up
2012-03-06,10.2,9.93,Up
2012-03-07,10.25,9.95,Up
2012-03-08,10.32,9.98,Up
2012-03-09,10.41,10.02,Up
2012-03-10,10.49,10.08,Up
2012-03-11,10.5,10.09,Up
2012-03-12,10.57,10.13,Up
2012-03-13,10.61,10.19,Up
2012-03-14,10.63,10.2,Up
2012-03-15,10.62,10.21,Up
2012-03-16,10.69,10.21,Up
2012-03-17,10.8,10.26,Up
2012-03-18,10.85,10.33,Up
2012-03-19,10.81,10.35,Up
2012-03-20,10.85,10.4,Up
2012-03-21,10.92,10.43,Up
2012-03-22,11.02,10.47,Up
2012-03-23,10.97,10.45,Up
2012-03-24,11.05,10.52,Up
2012-03-25,11.1,10.56,Up
2012-03-26,11.1,10.6,Up
2012-03-27,11.14,10.64,Up
2012-03-28,11.16,10.67,Up
2012-03-29,11.17,10.67,Up
2012-03-30,11.18,10.69,Up
2012-03-31,11.29,10.76,Up
2012-04-01,11.35,10.8,Up
2012-04-02,11.39,10.78,Up
2012-04-03,11.41,10.79,Up
2012-04-04,11.41,10.8,Up
2012-04-05,11.39,10.8,Up
2012-04-06,11.38,10.81,Up
2012-04-07,11.34,10.83,Up
2012-04-08,11.32,10.87,Up
2012-04-09,11.31,10.9,Up
2012-04-10,11.37,10.94,Up
