date,mvrv
2009-10-05,443.9818
2009-10-06,234.0863
2009-10-07,165.6901
2009-10-08,115.2526
2009-10-09,90.4865
2009-10-10,67.2253
2009-10-11,57.5096
2009-10-12,40.8728
2009-10-13,38.2879
2009-10-14,34.9044
2009-10-15,32.7252
2009-10-16,30.7239
2009-10-17,28.7114
2009-10-18,26.2344
2009-10-19,23.9938
2009-10-20,21.0568
2009-10-21,19.4194
2009-10-22,18.4305
2009-10-23,17.8821
2009-10-24,17.2753
2009-10-25,16.6703
2009-10-26,15.7252
2009-10-27,15.1587
2009-10-28,14.872
2009-10-29,14.3062
2009-10-30,13.7774
2009-10-31,13.381
2009-11-01,12.9368
2009-11-02,13.1265
2009-11-03,12.9304
2009-11-04,12.8241
2009-11-05,12.5057
2009-11-06,11.997
2009-11-07,11.6069
2009-11-08,11.1154
2009-11-09,10.8526
2009-11-10,10.3495
2009-11-11,10.6367
2009-11-12,10.7143
2009-11-13,10.5196
2009-11-14,9.7281
2009-11-15,9.0792
2009-11-16,8.5027
2009-11-17,8.2184
2009-11-18,7.5676
2009-11-19,7.4032
2009-11-20,7.2889
2009-11-21,7.0809
2009-11-22,6.8921
2009-11-23,6.3881
2009-11-24,5.8232
2009-11-25,5.5737
2009-11-26,5.4794
2009-11-27,5.197
2009-11-28,5.0745
2009-11-29,4.9165
2009-11-30,4.8349
2009-12-01,4.596
2009-12-02,4.4576
2009-12-03,4.2777
2009-12-04,4.1223
2009-12-05,4.1088
2009-12-06,3.9823
2009-12-07,3.8596
2009-12-08,3.7267
2009-12-09,3.6246
2009-12-10,3.5063
2009-12-11,3.446
2009-12-12,3.2894
2009-12-13,3.1501
2009-12-14,3.1489
2009-12-15,3.1257
2009-12-16,3.1335
2009-12-17,3.0508
2009-12-18,3.0195
2009-12-19,3.0463
2009-12-20,2.9965
2009-12-21,2.9631
2009-12-22,2.9621
2009-12-23,2.9337
2009-12-24,2.9062
2009-12-25,2.8805
2009-12-26,2.8511
2009-12-27,2.8237
2009-12-28,2.8018
2009-12-29,2.7753
2009-12-30,2.7952
2009-12-31,2.9691
2010-01-01,3.0697
2010-01-02,3.0457
2010-01-03,3.0109
2010-01-04,2.9628
2010-01-05,2.9286
2010-01-06,2.9013
2010-01-07,2.8763
2010-01-08,2.8521
2010-01-09,2.8288
2010-01-10,2.8002
2010-01-11,2.7771
2010-01-12,2.7741
2010-01-13,2.751
2010-01-14,2.7311
2010-01-15,2.7122
2010-01-16,2.6957
2010-01-17,2.6787
2010-01-18,2.6629
2010-01-19,2.6475
2010-01-20,2.6282
2010-01-21,2.6074
2010-01-22,2.592
2010-01-23,2.5738
2010-01-24,2.5567
2010-01-25,2.5338
2010-01-26,2.5132
2010-01-27,2.4964
2010-01-28,2.4786
2010-01-29,2.4593
2010-01-30,2.4392
2010-01-31,2.4238
2010-02-01,2.4071
2010-02-02,2.3942
2010-02-03,2.3707
2010-02-04,2.3515
2010-02-05,2.333
2010-02-06,2.3177
2010-02-07,2.3008
2010-02-08,2.2864
2010-02-09,2.2907
2010-02-10,2.275
2010-02-11,2.2627
2010-02-12,2.2497
2010-02-13,2.2335
2010-02-14,2.2194
2010-02-15,2.2077
2010-02-16,2.195
2010-02-17,2.1798
2010-02-18,2.1668
2010-02-19,2.1551
2010-02-20,2.1428
2010-02-21,2.1298
2010-02-22,2.115
2010-02-23,2.1011
2010-02-24,2.0917
2010-02-25,2.0835
2010-02-26,2.0744
2010-02-27,2.0655
2010-02-28,2.0576
2010-03-01,2.0479
2010-03-02,2.0386
2010-03-03,2.0313
2010-03-04,2.0199
2010-03-05,2.0119
2010-03-06,2.0038
2010-03-07,1.9957
2010-03-08,1.99
2010-03-09,1.9836
2010-03-10,1.9765
2010-03-11,1.9708
2010-03-12,1.9657
2010-03-13,1.9593
2010-03-14,1.9541
2010-03-15,1.9486
