date,nrplBtc
2010-07-18,0.0
2010-07-19,0.0
2010-07-20,0.0
2010-07-21,0.0
2010-07-22,0.0
2010-07-23,0.0
2010-07-24,0.0
2010-07-25,0.0
2010-07-26,0.0
2010-07-27,0.0
2010-07-28,0.0
2010-07-29,0.0
2010-07-30,0.0
2010-07-31,0.0
2010-08-01,0.0
2010-08-02,0.0
2010-08-03,0.0
2010-08-04,0.0
2010-08-05,0.0
2010-08-06,0.0
2010-08-07,0.0
2010-08-08,0.0
2010-08-09,0.0
2010-08-10,0.0
2010-08-11,0.0
2010-08-12,0.0
2010-08-13,0.0
2010-08-14,0.0
2010-08-15,0.0
2010-08-16,0.0
2010-08-17,0.0
2010-08-18,0.0
2010-08-19,0.0
2010-08-20,0.0
2010-08-21,0.0
2010-08-22,473.2520921
2010-08-23,786.812104
2010-08-24,1408.7860353
2010-08-25,1436.2792232
2010-08-26,1424.4490426
2010-08-27,3023.1794769
2010-08-28,3236.0565195
2010-08-29,3410.507707
2010-08-30,3287.680223
2010-08-31,5642.1424892
2010-09-01,6592.1919027
2010-09-02,6180.2775388
2010-09-03,6506.9891385
2010-09-04,6058.231424
2010-09-05,12640.2049034
2010-09-06,12137.537705
2010-09-07,11795.0932892
2010-09-08,10448.5573736
2010-09-09,11087.3945714
2010-09-10,9751.7525578
2010-09-11,8866.8629674
2010-09-12,8327.726281
2010-09-13,7660.405381
2010-09-14,6955.2187099
2010-09-15,7692.8831916
2010-09-16,8175.7053613
2010-09-17,11470.5461325
2010-09-18,10439.6680281
2010-09-19,9400.6516909
2010-09-20,8752.272056
2010-09-21,7820.0758814
2010-09-22,7057.8072955
2010-09-23,6538.3031855
2010-09-24,5848.8025951
2010-09-25,5793.5479035
2010-09-26,5126.1986525
2010-09-27,6794.1064081
2010-09-28,12621.1504248
2010-09-29,12142.039616
2010-09-30,10979.5705498
2010-10-01,14118.754318
2010-10-02,26611.450632
2010-10-03,23378.9104719
2010-10-04,20812.5597913
2010-10-05,21661.7802616
2010-10-06,18982.7850344
2010-10-07,16839.0845484
2010-10-08,15500.1679712
2010-10-09,14118.6797284
2010-10-10,13507.6937582
2010-10-11,11992.2050341
2010-10-12,10580.6315451
2010-10-13,10453.2401342
2010-10-14,9390.6954351
2010-10-15,8531.067603
2010-10-16,8710.6868537
2010-10-17,7732.6799579
2010-10-18,6768.1757899
2010-10-19,6119.1572947
2010-10-20,5551.2810769
2010-10-21,4866.9730419
2010-10-22,4258.980556
2010-10-23,4108.8366989
2010-10-24,3930.8113034
2010-10-25,3463.3296523
2010-10-26,3136.5293162
2010-10-27,2851.0636358
2010-10-28,2842.0785863
2010-10-29,2511.3755341
2010-10-30,2303.1333304
2010-10-31,2041.1784385
2010-11-01,1899.4085189
2010-11-02,1661.9823244
2010-11-03,1458.7485021
2010-11-04,1508.1278376
2010-11-05,1551.0464935
2010-11-06,2499.7600519
2010-11-07,2226.4342337
2010-11-08,3109.3554764
2010-11-09,2772.4481113
2010-11-10,2425.8938404
2010-11-11,2128.3863309
2010-11-12,1865.4342546
2010-11-13,2031.0075947
2010-11-14,3563.3492611
2010-11-15,7757.1874701
2010-11-16,8387.1775404
2010-11-17,8684.8840789
2010-11-18,8757.6102448
2010-11-19,8961.3065286
2010-11-20,9904.7112229
2010-11-21,9078.2432464
2010-11-22,8337.6602662
2010-11-23,8901.8052865
2010-11-24,8647.5049664
2010-11-25,8945.7646915
2010-11-26,13044.6647707
2010-11-27,11780.1832267
2010-11-28,10812.9828332
2010-11-29,9929.8312061
2010-11-30,11472.5707644
2010-12-01,10575.1157109
2010-12-02,11822.5547496
2010-12-03,10556.4551214
2010-12-04,10230.3360371
2010-12-05,9808.8236721
2010-12-06,18609.6181013
2010-12-07,18203.6442062
2010-12-08,16035.8452872
2010-12-09,14527.7939127
2010-12-10,13619.6393813
2010-12-11,13458.8341742
2010-12-12,11999.1372981
2010-12-13,12091.6455427
2010-12-14,10683.4792254
2010-12-15,10384.1248801
2010-12-16,9248.3455812
2010-12-17,8212.610391
2010-12-18,7949.4053575
2010-12-19,6968.3610976
2010-12-20,7539.782357
2010-12-21,10516.0720559
2010-12-22,9247.2919811
2010-12-23,8344.5401374
2010-12-24,7520.2580039
2010-12-25,6846.1816354
2010-12-26,6214.5843274
2010-12-27,5962.2305177
2010-12-28,5343.9117019
2010-12-29,5073.9532591
2010-12-30,4552.5261799
2010-12-31,4121.2000007
2011-01-01,3667.8711597
2011-01-02,3730.9372914
2011-01-03,3509.3608699
2011-01-04,3126.8357527
2011-01-05,2828.5268809
2011-01-06,2644.7267926
2011-01-07,2532.5308654
2011-01-08,2666.5548603
2011-01-09,2468.2416266
2011-01-10,3506.7478872
2011-01-11,6545.1757355
2011-01-12,5753.3979185
2011-01-13,5446.7136139
2011-01-14,5112.8803948
2011-01-15,4485.5875391
2011-01-16,4831.4044009
2011-01-17,4251.1057428
2011-01-18,3746.6320788
2011-01-19,5090.5251759
2011-01-20,4677.5477982
2011-01-21,4286.4808732
2011-01-22,3921.4971884
2011-01-23,4041.5190916
2011-01-24,3942.4142974
2011-01-25,3609.2375408
2011-01-26,4380.8676539
2011-01-27,19290.5844436
2011-01-28,17494.6229932
2011-01-29,16165.8726498
2011-01-30,14219.0449517
2011-01-31,12673.0259461
2011-02-01,11155.8034641
2011-02-02,9820.7352555
2011-02-03,8735.829617
2011-02-04,7822.1874034
2011-02-05,8890.475881
2011-02-06,11331.2816676
2011-02-07,15742.6465608
2011-02-08,14317.7509436
2011-02-09,15847.5970333
2011-02-10,15214.4548581
2011-02-11,15135.2966862
2011-02-12,13857.1357104
2011-02-13,12887.2330554
2011-02-14,14122.3732755
2011-02-15,12668.7608725
2011-02-16,11340.5215118
2011-02-17,10133.5785923
2011-02-18,10001.7730439
2011-02-19,9129.6027928
2011-02-20,9077.3348942
2011-02-21,8315.9347623
2011-02-22,8006.9731523
2011-02-23,7293.4093133
2011-02-24,7080.0274624
2011-02-25,6456.7416317
2011-02-26,7486.4901764
2011-02-27,9530.2973854
2011-02-28,10516.2456095
2011-03-01,32930.0531969
2011-03-02,29191.4726803
2011-03-03,25644.8415258
2011-03-04,23018.3552669
2011-03-05,20815.6174534
2011-03-06,18318.4538982
2011-03-07,16082.2365833
2011-03-08,14664.2411005
2011-03-09,12858.7400681
2011-03-10,11498.5143846
2011-03-11,10295.117534
2011-03-12,10333.2055129
2011-03-13,9884.3782366
2011-03-14,10787.1046129
2011-03-15,10245.1801594
2011-03-16,11082.6055917
2011-03-17,10791.5904316
2011-03-18,9603.1921547
2011-03-19,8654.0429138
2011-03-20,7682.0799054
2011-03-21,7280.7205809
2011-03-22,6508.8208188
2011-03-23,6425.0507431
2011-03-24,7578.5090299
2011-03-25,6757.7413809
2011-03-26,8140.8391372
2011-03-27,7762.1612963
2011-03-28,7090.3355312
2011-03-29,6285.4048143
2011-03-30,5597.549866
2011-03-31,5034.8209854
2011-04-01,4636.3902008
2011-04-02,4058.1186185
2011-04-03,3644.0432664
2011-04-04,5479.3112979
2011-04-05,5968.0717248
2011-04-06,5472.5551974
2011-04-07,4947.3056736
2011-04-08,4811.5407558
2011-04-09,4260.9921464
2011-04-10,3752.9031734
2011-04-11,3486.2786898
2011-04-12,3346.728558
2011-04-13,3290.0810403
2011-04-14,3103.1455542
2011-04-15,3389.5753218
2011-04-16,3951.5280647
2011-04-17,3537.2454422
2011-04-18,4638.3143756
2011-04-19,4206.1261856
2011-04-20,3969.3656378
2011-04-21,3482.2370355
2011-04-22,3216.9446753
2011-04-23,3521.5635135
2011-04-24,3408.0480395
2011-04-25,3308.9453954
2011-04-26,3191.3684901
2011-04-27,3078.8142194
2011-04-28,3104.8351108
2011-04-29,17169.9948067
2011-04-30,21851.6117004
2011-05-01,21110.4067651
2011-05-02,19551.5163773
2011-05-03,19346.3249395
2011-05-04,22987.6730994
2011-05-05,21018.2862528
2011-05-06,21469.1232941
2011-05-07,19400.6610036
2011-05-08,17608.9919409
2011-05-09,16255.5036489
2011-05-10,15403.5631385
2011-05-11,14887.1657688
2011-05-12,15286.8843354
2011-05-13,14315.4728856
2011-05-14,13770.3027215
2011-05-15,13710.0281545
2011-05-16,14156.8079252
2011-05-17,12800.2482204
2011-05-18,11656.083456
2011-05-19,10843.4312504
2011-05-20,10392.0021444
2011-05-21,9582.0062496
2011-05-22,8567.5111465
2011-05-23,7743.3423277
2011-05-24,7270.9667598
2011-05-25,6685.9179322
2011-05-26,6166.454947
2011-05-27,5530.6790236
2011-05-28,4973.462581
2011-05-29,4444.8021502
2011-05-30,4288.1977399
2011-05-31,4065.9332001
2011-06-01,3742.1569979
2011-06-02,3921.7132998
2011-06-03,4411.1171538
2011-06-04,3971.9543015
2011-06-05,4030.7644996
2011-06-06,3716.9062171
2011-06-07,3403.5752862
2011-06-08,3724.9448635
2011-06-09,3578.6540832
2011-06-10,3615.83449
2011-06-11,3926.2157253
2011-06-12,3699.6148512
2011-06-13,3758.3598959
2011-06-14,4415.9988337
2011-06-15,5065.7690335
2011-06-16,5164.5545743
2011-06-17,5061.6605232
2011-06-18,4503.4494766
2011-06-19,4943.8023081
2011-06-20,4434.6556043
2011-06-21,3936.500793
2011-06-22,3472.5519299
2011-06-23,3082.4119022
2011-06-24,2782.4457928
2011-06-25,2468.8036621
2011-06-26,2528.874808
2011-06-27,2890.6047093
2011-06-28,2888.7082224
2011-06-29,2623.8807636
2011-06-30,2385.6321855
2011-07-01,2143.5100929
2011-07-02,1889.760987
2011-07-03,1703.4398646
2011-07-04,1551.5090981
2011-07-05,1673.9986577
2011-07-06,1496.4867027
2011-07-07,1374.0898289
2011-07-08,1240.8919034
2011-07-09,1098.7401619
2011-07-10,1225.5657546
2011-07-11,1172.4928461
2011-07-12,1066.7359857
2011-07-13,944.8187699
2011-07-14,860.110406
2011-07-15,787.4893367
2011-07-16,700.2858593
2011-07-17,687.2142264
2011-07-18,705.673971
2011-07-19,690.5974379
2011-07-20,631.2489203
2011-07-21,839.6049012
2011-07-22,3617.679927
2011-07-23,4263.7718769
2011-07-24,5520.2107792
2011-07-25,6747.6089029
2011-07-26,7683.6075825
2011-07-27,8484.1872187
2011-07-28,11757.4332788
2011-07-29,12450.7539246
2011-07-30,12844.668446
2011-07-31,26233.1013162
2011-08-01,26137.4544446
2011-08-02,25062.5632436
2011-08-03,28410.0225532
2011-08-04,27742.0875084
2011-08-05,26506.5967147
2011-08-06,32816.7805652
2011-08-07,34496.4607838
2011-08-08,41334.9571831
2011-08-09,37284.4042484
2011-08-10,34671.6745857
2011-08-11,32097.4158751
2011-08-12,28681.5309267
2011-08-13,26126.239474
2011-08-14,24255.4034576
2011-08-15,22761.9980273
2011-08-16,20487.5683759
2011-08-17,18480.1183068
2011-08-18,16832.7792592
2011-08-19,16085.8334907
2011-08-20,14718.6395645
2011-08-21,13281.6431525
2011-08-22,12534.1148646
2011-08-23,11629.7225199
2011-08-24,10882.1670041
2011-08-25,22519.4971236
2011-08-26,24330.8250366
2011-08-27,102097.110603
2011-08-28,89943.4490288
2011-08-29,81499.0440144
2011-08-30,71816.2401501
2011-08-31,63572.2180859
2011-09-01,56318.5864344
2011-09-02,51167.1074311
2011-09-03,45112.5406186
2011-09-04,39917.0973134
2011-09-05,37554.5766411
2011-09-06,36723.0101624
2011-09-07,35540.0101987
2011-09-08,33702.7086487
2011-09-09,41214.822209
2011-09-10,36694.4393035
2011-09-11,32620.3367961
2011-09-12,31071.6677982
2011-09-13,39906.8268528
2011-09-14,38327.5281532
2011-09-15,34143.9480088
2011-09-16,32991.948593
2011-09-17,29867.2974096
2011-09-18,26503.1761931
2011-09-19,24255.9359944
2011-09-20,22841.7024566
2011-09-21,20569.3288259
2011-09-22,19273.2122197
2011-09-23,17532.774333
2011-09-24,15536.8102363
2011-09-25,19637.4062471
2011-09-26,17872.426578
2011-09-27,16340.9176523
2011-09-28,15364.1929821
2011-09-29,13700.0206739
2011-09-30,12640.2091418
2011-10-01,13766.249109
2011-10-02,13603.6828411
2011-10-03,12551.6399147
2011-10-04,12264.1430053
2011-10-05,11366.8275572
2011-10-06,14778.6339035
2011-10-07,13920.3898414
2011-10-08,12900.6325141
2011-10-09,13081.617322
2011-10-10,12469.161066
2011-10-11,13699.6953556
2011-10-12,14582.6642694
2011-10-13,18065.4402499
2011-10-14,16300.7589441
2011-10-15,14455.7885156
2011-10-16,13009.1013233
2011-10-17,15595.7146449
2011-10-18,14664.0593155
2011-10-19,14866.8259444
2011-10-20,13240.3987564
2011-10-21,11628.5027599
2011-10-22,10603.7094824
2011-10-23,9455.7591069
2011-10-24,8334.454714
2011-10-25,7335.2329227
2011-10-26,7052.9995378
2011-10-27,6688.6439495
2011-10-28,5898.2621106
2011-10-29,5301.8204825
2011-10-30,5139.9230605
2011-10-31,4552.7830062
2011-11-01,4406.4615917
2011-11-02,3871.5191728
2011-11-03,4368.444951
2011-11-04,4412.869251
2011-11-05,3936.8606563
2011-11-06,3456.0405057
2011-11-07,3210.2786545
2011-11-08,2980.4589211
2011-11-09,4454.9301972
2011-11-10,5660.4910748
2011-11-11,5077.5459833
2011-11-12,5306.6161346
2011-11-13,4719.9308001
2011-11-14,5346.9205254
2011-11-15,5709.2494467
2011-11-16,5838.4235479
2011-11-17,6769.7343929
2011-11-18,8052.4362536
2011-11-19,7102.3067233
2011-11-20,6967.3615207
2011-11-21,7283.420945
2011-11-22,7575.5174817
2011-11-23,6822.197433
2011-11-24,7352.0038617
