date,nupl
2013-01-01,0.4367
2013-01-02,0.4345
2013-01-03,0.4383
2013-01-04,0.4403
2013-01-05,0.4402
2013-01-06,0.4417
2013-01-07,0.4432
2013-01-08,0.4507
2013-01-09,0.4517
2013-01-10,0.4616
2013-01-11,0.4643
2013-01-12,0.4632
2013-01-13,0.4604
2013-01-14,0.4654
2013-01-15,0.4642
2013-01-16,0.4768
2013-01-17,0.503
2013-01-18,0.5047
2013-01-19,0.4997
2013-01-20,0.5029
2013-01-21,0.5306
2013-01-22,0.5392
2013-01-23,0.5425
2013-01-24,0.5237
2013-01-25,0.5354
2013-01-26,0.5372
2013-01-27,0.5415
2013-01-28,0.5605
2013-01-29,0.5697
2013-01-30,0.57
2013-01-31,0.5803
2013-02-01,0.571
2013-02-02,0.5526
2013-02-03,0.5706
2013-02-04,0.5658
2013-02-05,0.568
2013-02-06,0.5765
2013-02-07,0.5907
2013-02-08,0.5983
2013-02-09,0.6109
2013-02-10,0.6118
2013-02-11,0.6183
2013-02-12,0.6222
2013-02-13,0.6134
2013-02-14,0.6451
2013-02-15,0.6382
2013-02-16,0.6371
2013-02-17,0.6287
2013-02-18,0.6262
2013-02-19,0.6527
2013-02-20,0.6535
2013-02-21,0.6509
2013-02-22,0.6546
2013-02-23,0.6448
2013-02-24,0.6414
2013-02-25,0.6397
2013-02-26,0.6455
2013-02-27,0.6448
2013-02-28,0.659
2013-03-01,0.6666
2013-03-02,0.6601
2013-03-03,0.6614
2013-03-04,0.6753
2013-03-05,0.7007
2013-03-06,0.7068
2013-03-07,0.6918
2013-03-08,0.7018
2013-03-09,0.715
2013-03-10,0.7071
2013-03-11,0.7164
2013-03-12,0.6892
2013-03-13,0.7019
2013-03-14,0.698
2013-03-15,0.6945
2013-03-16,0.6939
2013-03-17,0.6928
2013-03-18,0.7118
2013-03-19,0.741
2013-03-20,0.7504
2013-03-21,0.7639
2013-03-22,0.7534
2013-03-23,0.7302
2013-03-24,0.7516
2013-03-25,0.7515
2013-03-26,0.7591
2013-03-27,0.7776
2013-03-28,0.7664
2013-03-29,0.7675
2013-03-30,0.7647
2013-03-31,0.7656
2013-04-01,0.7754
2013-04-02,0.7896
2013-04-03,0.7938
2013-04-04,0.789
2013-04-05,0.7878
2013-04-06,0.7833
2013-04-07,0.802
2013-04-08,0.8125
2013-04-09,0.8227
2013-04-10,0.7368
2013-04-11,0.5235
2013-04-12,0.648
2013-04-13,0.6003
2013-04-14,0.5642
2013-04-15,0.5273
2013-04-16,0.4478
2013-04-17,0.5873
2013-04-18,0.6408
2013-04-19,0.6667
2013-04-20,0.6861
2013-04-21,0.6569
2013-04-22,0.6746
2013-04-23,0.7044
2013-04-24,0.7151
2013-04-25,0.6837
2013-04-26,0.673
2013-04-27,0.6476
2013-04-28,0.6625
2013-04-29,0.6795
2013-04-30,0.6667
2013-05-01,0.6032
2013-05-02,0.5692
2013-05-03,0.5258
2013-05-04,0.5928
2013-05-05,0.6051
2013-05-06,0.5891
2013-05-07,0.5866
2013-05-08,0.5918
2013-05-09,0.5871
2013-05-10,0.6072
2013-05-11,0.5979
2013-05-12,0.595
2013-05-13,0.6027
2013-05-14,0.5683
2013-05-15,0.5717
2013-05-16,0.5859
2013-05-17,0.6001
2013-05-18,0.6007
2013-05-19,0.5964
2013-05-20,0.5983
2013-05-21,0.5958
2013-05-22,0.6008
2013-05-23,0.6147
2013-05-24,0.6284
2013-05-25,0.6233
2013-05-26,0.6265
2013-05-27,0.6145
2013-05-28,0.6122
2013-05-29,0.6211
2013-05-30,0.6109
2013-05-31,0.6134
2013-06-01,0.6153
2013-06-02,0.5952
2013-06-03,0.5953
2013-06-04,0.5851
2013-06-05,0.5861
2013-06-06,0.5773
2013-06-07,0.5437
2013-06-08,0.5395
2013-06-09,0.4971
2013-06-10,0.5187
2013-06-11,0.5317
2013-06-12,0.5268
2013-06-13,0.504
2013-06-14,0.4937
2013-06-15,0.4969
2013-06-16,0.4926
2013-06-17,0.4981
2013-06-18,0.5179
2013-06-19,0.5182
2013-06-20,0.5177
2013-06-21,0.5041
2013-06-22,0.4971
2013-06-23,0.4985
2013-06-24,0.4919
2013-06-25,0.4856
2013-06-26,0.4896
2013-06-27,0.4801
2013-06-28,0.4386
2013-06-29,0.4345
2013-06-30,0.4392
2013-07-01,0.3946
2013-07-02,0.4278
2013-07-03,0.3556
2013-07-04,0.3682
2013-07-05,0.2654
2013-07-06,0.2584
2013-07-07,0.3174
2013-07-08,0.3346
2013-07-09,0.3431
2013-07-10,0.4177
2013-07-11,0.4335
2013-07-12,0.4478
2013-07-13,0.4553
2013-07-14,0.4448
2013-07-15,0.4671
2013-07-16,0.4558
2013-07-17,0.4517
2013-07-18,0.4143
2013-07-19,0.4235
2013-07-20,0.4149
2013-07-21,0.42
2013-07-22,0.4201
