date,nvtRatio
2009-10-06,1.0
2009-10-12,0.306901
2009-10-16,0.224052
2009-10-18,2.701565
2009-10-20,0.225332
2009-10-21,1.214288
2009-10-22,0.105429
2009-10-24,0.116511
2009-10-27,0.122827
2009-10-29,0.799649
2009-11-04,0.116383
2009-11-11,0.02221
2009-11-13,2.836922
2009-11-19,0.041988
2009-12-01,0.202838
2009-12-05,2.117012
2009-12-06,7.828803
2009-12-08,0.747128
2009-12-09,0.490945
2009-12-12,0.23389
2009-12-14,0.039449
2009-12-15,0.244562
2009-12-16,1.539142
2009-12-17,3.848721
2009-12-19,12.335642
2009-12-21,8.655922
2009-12-25,6.844429
2009-12-27,1.364972
2010-01-01,3.213579
2010-01-04,0.016212
2010-01-12,0.033528
2010-01-13,5.385274
2010-01-14,0.779742
2010-01-15,1.553068
2010-01-16,1.237814
2010-01-18,5.461396
2010-01-21,0.408481
2010-01-22,1.124985
2010-01-23,4.961737
2010-01-24,4.611895
2010-01-25,0.071915
2010-01-26,0.278114
2010-01-27,0.248248
2010-01-28,0.241754
2010-01-29,0.273066
2010-01-30,0.156336
2010-01-31,0.246652
2010-02-01,0.106858
2010-02-02,0.269661
2010-02-03,0.951489
2010-02-04,0.142483
2010-02-05,0.024443
2010-02-06,0.145639
2010-02-07,0.620755
2010-02-08,0.047268
2010-02-09,0.015514
2010-02-10,0.010936
2010-02-11,0.091371
2010-02-12,0.045127
2010-02-13,0.056909
2010-02-14,0.018365
2010-02-15,0.080756
2010-02-16,0.487654
2010-02-17,0.006477
2010-02-18,0.133653
2010-02-19,3.728875
2010-02-20,0.580285
2010-02-21,0.061359
2010-02-22,0.027444
2010-02-23,7.187647
2010-02-24,0.068989
2010-02-25,0.03509
2010-02-26,0.034566
2010-02-27,0.844325
2010-02-28,0.073025
2010-03-01,0.245391
2010-03-02,0.199242
2010-03-03,0.039692
2010-03-04,0.021275
2010-03-05,2.696102
2010-03-06,0.017309
2010-03-07,0.055668
2010-03-08,0.046827
2010-03-09,0.106053
2010-03-10,0.167443
2010-03-11,0.137835
2010-03-12,1.259786
2010-03-13,0.247915
2010-03-14,0.291024
2010-03-15,2.912559
2010-03-16,0.372218
2010-03-17,0.361212
2010-03-18,0.11576
2010-03-19,0.073015
2010-03-20,0.094903
2010-03-21,1.042946
2010-03-22,0.194775
2010-03-23,0.121313
2010-03-24,0.27169
2010-03-25,0.020573
2010-03-26,0.125569
2010-03-27,0.195454
2010-03-28,0.239058
2010-03-29,0.150822
2010-03-30,0.950758
2010-03-31,0.358431
2010-04-01,0.380953
2010-04-02,0.537363
2010-04-03,0.314807
2010-04-04,0.159034
2010-04-05,0.052188
2010-04-06,0.109199
2010-04-07,0.103232
2010-04-08,0.185938
2010-04-09,0.019671
2010-04-10,0.039531
2010-04-11,0.036884
2010-04-12,0.021516
2010-04-13,0.258645
2010-04-14,0.095709
2010-04-15,0.005516
2010-04-16,0.048974
2010-04-17,0.150729
2010-04-18,0.017448
2010-04-19,0.02685
2010-04-20,0.045636
2010-04-21,0.083568
2010-04-22,0.031478
2010-04-23,0.1731
2010-04-24,0.057004
2010-04-25,0.043824
2010-04-26,0.058128
2010-04-27,0.084577
2010-04-28,0.085559
2010-04-29,0.130449
2010-04-30,0.01196
2010-05-01,0.142679
2010-05-02,0.325151
2010-05-03,0.093733
2010-05-04,0.040412
2010-05-05,0.040447
2010-05-06,0.048814
2010-05-07,0.023149
2010-05-08,0.045242
2010-05-09,0.08078
2010-05-10,0.090802
2010-05-11,0.394993
2010-05-12,0.037699
2010-05-13,0.075537
2010-05-14,0.052894
2010-05-15,0.259244
2010-05-16,0.345197
2010-05-17,0.079156
2010-05-18,0.090933
2010-05-19,0.056482
2010-05-20,0.227345
2010-05-21,0.022096
2010-05-22,0.01989
2010-05-23,0.040714
2010-05-24,0.14467
2010-05-25,0.120975
2010-05-26,0.054764
2010-05-27,0.063695
2010-05-28,0.03196
2010-05-29,0.021432
2010-05-30,0.174935
2010-05-31,0.140335
2010-06-01,0.135782
2010-06-02,0.128494
2010-06-03,0.101841
2010-06-04,0.03062
2010-06-05,0.158769
2010-06-06,0.117149
2010-06-07,0.037358
2010-06-08,0.108936
2010-06-09,0.014284
2010-06-10,0.032879
2010-06-11,0.101598
2010-06-12,0.074814
2010-06-13,0.074878
2010-06-14,0.024814
2010-06-15,0.030241
2010-06-16,0.038033
2010-06-17,0.050478
2010-06-18,0.095622
2010-06-19,0.019128
2010-06-20,0.041585
2010-06-21,0.029843
2010-06-22,0.036635
2010-06-23,0.029142
2010-06-24,0.035845
2010-06-25,0.060554
2010-06-26,0.020058
2010-06-27,0.094495
2010-06-28,0.02648
2010-06-29,0.029545
2010-06-30,0.022019
2010-07-01,0.045566
2010-07-02,0.011622
2010-07-03,0.034143
2010-07-04,0.067361
2010-07-05,0.023791
2010-07-06,0.065801
2010-07-07,0.026084
2010-07-08,0.076473
2010-07-09,0.111843
2010-07-10,0.063881
2010-07-11,0.027936
2010-07-12,0.000514
2010-07-13,0.004495
2010-07-14,0.004288
2010-07-15,0.016276
2010-07-16,0.023218
2010-07-17,0.059082
2010-07-18,0.039747
2010-07-19,0.03062
2010-07-20,0.048624
2010-07-21,0.052962
2010-07-22,0.037213
2010-07-23,0.072047
2010-07-24,0.034196
2010-07-25,0.032026
2010-07-26,0.017473
2010-07-27,0.047941
2010-07-28,0.022785
2010-07-29,0.081297
2010-07-30,0.077372
2010-07-31,0.101765
2010-08-01,0.00586
2010-08-02,0.025089
2010-08-03,0.039681
2010-08-04,0.048117
2010-08-05,0.039951
2010-08-06,0.088247
2010-08-07,0.065282
2010-08-08,0.160645
2010-08-09,0.021605
2010-08-10,0.049676
