date,open,high,low,close,volume
2014-12-31,310.91,320.19,310.21,320.19,13.94
2015-01-01,320.43,320.43,314.0,314.25,8.04
2015-01-02,314.08,315.84,313.57,315.03,7.86
2015-01-03,314.85,315.15,281.08,281.08,33.05
2015-01-04,281.15,287.23,257.61,264.2,55.63
2015-01-05,265.08,278.34,265.08,274.47,43.96
2015-01-06,274.61,287.55,272.7,286.19,23.25
2015-01-07,286.08,298.75,283.08,294.34,24.87
2015-01-08,294.14,294.14,282.17,283.35,19.98
2015-01-09,282.38,291.11,280.53,290.41,18.72
2015-01-10,287.3,288.13,273.97,274.8,15.26
2015-01-11,274.61,279.64,265.04,265.66,18.2
2015-01-12,266.15,272.2,265.2,267.8,18.88
2015-01-13,267.39,268.28,219.91,225.86,72.84
2015-01-14,223.89,223.89,171.51,178.1,97.64
2015-01-15,176.9,229.07,176.9,209.84,81.77
2015-01-16,209.07,221.59,199.77,208.1,38.42
2015-01-17,207.83,211.73,194.88,199.26,23.47
2015-01-18,200.05,218.7,194.51,210.34,30.09
2015-01-19,211.47,216.73,207.32,214.86,18.66
2015-01-20,212.91,215.24,205.15,211.32,24.05
2015-01-21,211.38,227.79,211.21,226.9,29.92
2015-01-22,227.32,237.02,226.43,233.41,33.54
2015-01-23,233.52,234.85,225.2,232.88,24.62
2015-01-24,232.7,248.21,230.02,247.85,24.78
2015-01-25,247.35,255.07,243.89,253.72,33.58
2015-01-26,254.08,309.38,254.08,273.47,106.79
2015-01-27,273.17,275.48,250.65,263.48,44.4
2015-01-28,263.35,266.54,227.05,233.91,44.35
2015-01-29,233.35,238.71,220.71,233.51,32.21
2015-01-30,232.77,242.85,225.84,226.43,26.61
2015-01-31,226.44,233.5,216.31,217.46,23.35
2015-02-01,216.87,231.57,212.01,226.97,29.13
2015-02-02,226.49,242.18,222.66,238.23,30.61
2015-02-03,237.45,245.96,224.48,227.27,40.78
2015-02-04,227.51,230.06,221.11,226.85,26.59
2015-02-05,227.66,239.4,214.73,217.11,22.52
2015-02-06,216.92,230.51,216.23,222.27,24.44
2015-02-07,222.63,230.3,222.61,227.75,21.6
2015-02-08,227.69,229.44,221.08,223.41,17.15
2015-02-09,223.39,223.98,217.02,220.11,27.79
2015-02-10,220.28,221.81,215.33,219.84,21.12
2015-02-11,219.73,223.41,218.07,219.18,17.2
2015-02-12,219.21,222.2,217.61,221.76,15.21
2015-02-13,221.97,240.26,221.26,235.43,42.74
2015-02-14,235.53,259.81,235.53,257.32,49.73
2015-02-15,257.51,265.61,227.68,234.82,56.55
2015-02-16,234.82,239.52,229.02,233.84,28.15
2015-02-17,233.42,245.77,232.31,243.61,27.36
2015-02-18,243.78,244.25,232.34,236.33,25.2
2015-02-19,236.41,242.67,235.59,240.28,18.27
2015-02-20,240.25,247.1,239.3,243.78,23.88
2015-02-21,243.75,255.32,243.18,244.53,12.28
2015-02-22,244.54,246.39,233.85,235.98,19.53
2015-02-23,235.99,240.11,232.42,238.89,16.4
2015-02-24,239.0,239.9,236.4,238.74,14.2
2015-02-25,238.89,239.34,235.53,237.47,11.5
2015-02-26,237.34,237.71,234.26,236.43,13.62
2015-02-27,236.44,256.65,236.44,253.83,44.01
2015-02-28,253.52,254.69,249.48,254.26,13.95
2015-03-01,254.28,261.66,245.93,260.2,25.21
2015-03-02,260.36,276.3,258.31,275.67,40.47
2015-03-03,275.05,285.8,268.16,281.7,50.46
2015-03-04,281.99,284.23,268.13,273.09,41.38
2015-03-05,272.74,281.67,264.77,276.18,41.3
2015-03-06,275.6,277.61,270.02,272.72,28.92
2015-03-07,272.29,277.85,270.13,276.26,17.83
2015-03-08,276.43,277.86,272.57,274.35,22.07
2015-03-09,274.81,292.7,273.89,289.61,59.18
2015-03-10,289.86,300.04,289.74,291.76,67.77
2015-03-11,291.52,297.39,290.51,296.38,33.96
2015-03-12,296.13,297.09,292.41,294.35,32.59
2015-03-13,294.12,294.5,285.34,285.34,31.42
2015-03-14,284.44,286.34,280.98,281.89,22.61
2015-03-15,281.42,286.53,281.0,286.39,11.97
2015-03-16,285.68,294.11,285.68,290.59,21.52
2015-03-17,290.6,292.36,284.37,285.51,21.5
2015-03-18,285.07,285.34,249.87,256.3,57.01
2015-03-19,255.88,264.24,248.64,260.93,52.73
2015-03-20,260.96,264.85,259.16,261.75,18.46
2015-03-21,261.64,262.2,255.65,260.02,17.13
2015-03-22,259.92,269.75,259.59,267.96,18.44
2015-03-23,267.89,277.3,261.74,266.74,22.81
2015-03-24,266.58,267.0,244.15,245.6,40.07
2015-03-25,247.47,249.19,236.51,246.2,35.87
2015-03-26,246.28,254.35,244.9,248.53,25.73
2015-03-27,248.57,256.81,245.21,247.03,17.27
2015-03-28,246.98,254.21,246.98,252.8,16.04
2015-03-29,252.74,253.14,240.85,242.71,21.7
2015-03-30,242.88,249.24,239.21,247.53,23.01
2015-03-31,247.45,248.73,242.74,244.22,22.67
2015-04-01,244.22,247.54,241.16,247.27,22.88
2015-04-02,247.09,254.46,245.42,253.01,26.27
2015-04-03,253.07,256.04,251.88,254.32,23.15
2015-04-04,254.29,255.26,251.1,253.7,12.49
2015-04-05,253.76,260.67,251.94,260.6,19.65
2015-04-06,260.72,261.8,254.57,255.49,20.03
2015-04-07,255.27,255.8,252.21,253.18,18.47
2015-04-08,253.06,253.85,244.21,245.02,30.09
2015-04-09,244.75,246.12,239.4,243.68,21.64
2015-04-10,243.69,243.69,232.77,236.07,28.88
2015-04-11,236.02,239.54,234.18,236.55,16.37
2015-04-12,236.54,237.73,233.49,236.15,12.39
2015-04-13,235.95,236.93,222.0,224.59,31.18
2015-04-14,224.76,224.98,216.32,219.16,31.72
2015-04-15,219.07,223.83,218.65,223.83,22.56
2015-04-16,223.92,229.67,223.92,228.57,24.81
2015-04-17,228.57,228.91,221.94,222.88,20.43
2015-04-18,222.85,224.32,220.88,223.36,12.94
2015-04-19,223.46,226.35,222.37,222.6,15.02
2015-04-20,222.61,226.35,221.98,224.63,18.36
2015-04-21,224.62,235.27,224.3,235.27,24.98
2015-04-22,235.6,237.91,233.48,234.18,23.85
2015-04-23,234.05,236.48,233.2,236.46,17.04
2015-04-24,235.97,236.3,229.93,231.27,21.45
