date,puellMultiple
2010-01-02,4.3862
2010-01-03,6.362
2010-01-04,6.0877
2010-01-05,6.5402
2010-01-06,5.3058
2010-01-07,4.945
2010-01-08,4.8476
2010-01-09,4.7223
2010-01-10,5.8468
2010-01-11,4.8282
2010-01-12,4.7653
2010-01-13,4.8497
2010-01-14,4.1802
2010-01-15,4.0757
2010-01-16,3.5778
2010-01-17,3.7114
2010-01-18,3.5074
2010-01-19,3.4465
2010-01-20,4.3393
2010-01-21,4.7437
2010-01-22,3.57
2010-01-23,4.2448
2010-01-24,4.0404
2010-01-25,5.4531
2010-01-26,4.971
2010-01-27,4.1334
2010-01-28,4.4072
2010-01-29,4.8401
2010-01-30,5.0876
2010-01-31,3.9541
2010-02-01,4.3568
2010-02-02,3.4013
2010-02-03,6.2255
2010-02-04,5.2048
2010-02-05,4.999
2010-02-06,4.2539
2010-02-07,4.7453
2010-02-08,4.3218
2010-02-09,4.4191
2010-02-10,3.5515
2010-02-11,3.538
2010-02-12,3.7913
2010-02-13,4.7439
2010-02-14,4.2042
2010-02-15,3.5231
2010-02-16,3.8621
2010-02-17,4.6729
2010-02-18,4.022
2010-02-19,3.6752
2010-02-20,3.9385
2010-02-21,4.1743
2010-02-22,4.8028
2010-02-23,4.5604
2010-02-24,3.0929
2010-02-25,2.7643
2010-02-26,3.0615
2010-02-27,3.0361
2010-02-28,2.733
2010-03-01,3.3846
2010-03-02,3.2342
2010-03-03,2.5963
2010-03-04,3.1328
2010-03-05,2.8729
2010-03-06,2.9497
2010-03-07,2.9589
2010-03-08,2.0546
2010-03-09,2.3841
2010-03-10,2.6263
2010-03-11,2.1435
2010-03-12,1.9398
2010-03-13,2.4364
2010-03-14,1.9797
2010-03-15,2.1257
2010-03-16,1.9732
2010-03-17,2.1175
2010-03-18,2.1668
2010-03-19,2.3527
2010-03-20,2.9288
2010-03-21,2.7703
2010-03-22,2.6898
2010-03-23,3.0842
2010-03-24,2.5302
2010-03-25,2.7461
2010-03-26,2.8702
2010-03-27,2.5751
2010-03-28,2.6711
2010-03-29,2.7791
2010-03-30,3.0386
2010-03-31,2.9301
2010-04-01,2.3402
2010-04-02,2.1602
2010-04-03,2.2159
2010-04-04,2.3385
2010-04-05,2.0803
2010-04-06,2.1492
2010-04-07,2.5903
2010-04-08,2.4396
2010-04-09,2.5023
2010-04-10,3.4102
2010-04-11,2.9017
2010-04-12,2.6224
2010-04-13,2.4254
2010-04-14,2.2953
2010-04-15,2.7338
2010-04-16,2.5388
2010-04-17,2.7566
2010-04-18,3.0306
2010-04-19,2.8474
2010-04-20,2.4988
2010-04-21,2.6501
2010-04-22,1.9139
2010-04-23,1.7967
2010-04-24,2.0013
2010-04-25,1.8725
2010-04-26,1.9333
2010-04-27,2.1097
2010-04-28,2.0976
2010-04-29,1.705
2010-04-30,1.6626
2010-05-01,2.1007
2010-05-02,1.7707
2010-05-03,1.8074
2010-05-04,1.5394
2010-05-05,1.5442
2010-05-06,1.6717
2010-05-07,1.475
2010-05-08,1.7128
2010-05-09,1.5835
2010-05-10,1.4119
2010-05-11,1.2203
2010-05-12,1.3909
2010-05-13,1.3965
2010-05-14,1.3385
2010-05-15,0.9871
2010-05-16,1.2209
2010-05-17,1.5385
2010-05-18,1.7986
2010-05-19,1.7474
2010-05-20,2.1502
2010-05-21,1.8547
2010-05-22,2.0436
2010-05-23,2.1978
2010-05-24,1.9478
2010-05-25,2.1628
2010-05-26,2.2823
2010-05-27,1.9545
2010-05-28,2.2561
2010-05-29,1.8521
2010-05-30,1.4936
2010-05-31,1.4179
2010-06-01,1.3431
2010-06-02,1.4566
2010-06-03,1.5
2010-06-04,1.2294
2010-06-05,1.4205
2010-06-06,1.4442
2010-06-07,1.5256
2010-06-08,1.5482
2010-06-09,1.6184
2010-06-10,1.5348
2010-06-11,1.6045
2010-06-12,1.2848
2010-06-13,1.6296
2010-06-14,1.519
2010-06-15,1.7278
2010-06-16,1.3286
2010-06-17,1.3609
2010-06-18,1.3928
2010-06-19,1.3875
2010-06-20,1.7033
2010-06-21,1.4124
2010-06-22,1.4252
2010-06-23,1.7004
2010-06-24,1.5303
2010-06-25,1.3532
2010-06-26,1.4288
2010-06-27,1.5925
2010-06-28,1.3549
2010-06-29,1.5002
2010-06-30,1.6087
2010-07-01,1.8553
2010-07-02,1.4625
2010-07-03,1.8472
2010-07-04,1.4407
2010-07-05,1.547
2010-07-06,1.4547
2010-07-07,1.3379
2010-07-08,1.2904
2010-07-09,1.6928
2010-07-10,1.6765
2010-07-11,1.5094
2010-07-12,5.4735
2010-07-13,5.6585
2010-07-14,4.6659
2010-07-15,4.9688
2010-07-16,3.9773
2010-07-17,74.7018
2010-07-18,95.1938
2010-07-19,72.6083
2010-07-20,58.6398
2010-07-21,59.4899
2010-07-22,29.6298
2010-07-23,36.4539
2010-07-24,28.5153
2010-07-25,29.6559
2010-07-26,31.5955
2010-07-27,21.7467
2010-07-28,19.364
2010-07-29,24.2839
2010-07-30,20.7699
2010-07-31,23.458
2010-08-01,23.2839
2010-08-02,21.7706
2010-08-03,19.3389
2010-08-04,18.6614
2010-08-05,17.078
2010-08-06,11.3942
2010-08-07,11.0371
2010-08-08,14.059
2010-08-09,15.0125
2010-08-10,14.2899
2010-08-11,15.9557
2010-08-12,14.892
2010-08-13,13.1072
2010-08-14,16.9676
2010-08-15,11.7869
2010-08-16,8.2092
2010-08-17,7.5392
2010-08-18,7.3996
2010-08-19,7.2198
2010-08-20,9.8621
2010-08-21,8.7469
2010-08-22,10.352
2010-08-23,9.9502
2010-08-24,9.7885
2010-08-25,9.5467
2010-08-26,8.9423
2010-08-27,7.2485
2010-08-28,6.9706
2010-08-29,6.5141
2010-08-30,5.9826
2010-08-31,6.6973
2010-09-01,5.894
2010-09-02,5.809
2010-09-03,5.7686
2010-09-04,6.412
2010-09-05,5.6823
2010-09-06,5.3613
2010-09-07,5.2982
2010-09-08,5.4701
2010-09-09,4.3587
2010-09-10,5.6891
2010-09-11,5.2217
2010-09-12,5.4966
2010-09-13,5.2919
2010-09-14,6.1563
2010-09-15,4.9264
2010-09-16,6.4272
2010-09-17,5.7271
2010-09-18,6.6244
2010-09-19,5.9073
2010-09-20,5.5957
2010-09-21,4.7213
2010-09-22,4.6811
2010-09-23,6.1993
2010-09-24,5.9317
2010-09-25,5.2919
2010-09-26,5.165
2010-09-27,5.6979
2010-09-28,5.1757
2010-09-29,3.9605
2010-09-30,3.4915
2010-10-01,3.6504
2010-10-02,2.3334
2010-10-03,2.8115
2010-10-04,3.5029
2010-10-05,2.8669
2010-10-06,3.9373
2010-10-07,3.8882
2010-10-08,4.7879
2010-10-09,5.2298
2010-10-10,5.9629
2010-10-11,5.1697
2010-10-12,4.9662
2010-10-13,6.1349
2010-10-14,6.8122
2010-10-15,5.9564
2010-10-16,8.1652
2010-10-17,8.4308
2010-10-18,7.6427
2010-10-19,7.2952
2010-10-20,7.5208
2010-10-21,5.6389
2010-10-22,4.4187
2010-10-23,5.0965
2010-10-24,6.3946
2010-10-25,7.1263
2010-10-26,9.3861
2010-10-27,10.0745
2010-10-28,9.3094
2010-10-29,10.117
2010-10-30,11.5887
2010-10-31,7.7969
2010-11-01,7.6657
2010-11-02,7.403
2010-11-03,7.7933
2010-11-04,9.5632
2010-11-05,11.4109
2010-11-06,16.279
2010-11-07,15.0433
2010-11-08,11.8707
2010-11-09,7.9192
2010-11-10,8.275
2010-11-11,8.1144
2010-11-12,7.3758
2010-11-13,9.7486
2010-11-14,10.9748
2010-11-15,8.0598
2010-11-16,6.4837
2010-11-17,8.1931
2010-11-18,9.6674
2010-11-19,5.8059
2010-11-20,4.4833
2010-11-21,5.2156
2010-11-22,6.2094
2010-11-23,5.1675
2010-11-24,6.4191
2010-11-25,6.3813
2010-11-26,6.8178
2010-11-27,6.1879
2010-11-28,5.5555
2010-11-29,5.659
2010-11-30,4.8869
2010-12-01,4.9032
2010-12-02,5.4145
2010-12-03,5.2815
2010-12-04,5.1518
2010-12-05,4.9163
2010-12-06,5.2463
2010-12-07,5.8474
2010-12-08,5.8719
2010-12-09,4.5506
2010-12-10,3.0343
2010-12-11,3.9932
2010-12-12,3.7267
2010-12-13,3.1833
2010-12-14,4.0959
2010-12-15,4.4741
2010-12-16,4.1009
2010-12-17,3.7396
2010-12-18,3.6062
2010-12-19,4.0604
2010-12-20,3.8607
2010-12-21,4.2071
2010-12-22,3.5167
2010-12-23,3.1991
2010-12-24,3.2108
2010-12-25,3.6361
2010-12-26,3.298
2010-12-27,3.737
2010-12-28,3.9902
2010-12-29,4.1125
2010-12-30,4.1642
2010-12-31,3.9486
2011-01-01,4.3591
2011-01-02,4.1662
2011-01-03,3.6165
2011-01-04,3.2826
2011-01-05,3.5511
2011-01-06,3.212
2011-01-07,3.9682
2011-01-08,4.104
2011-01-09,3.8944
2011-01-10,3.8721
2011-01-11,4.0654
2011-01-12,3.813
2011-01-13,4.2268
2011-01-14,5.0544
2011-01-15,4.1823
2011-01-16,4.5864
2011-01-17,4.2607
2011-01-18,2.9484
2011-01-19,3.5001
2011-01-20,4.7378
2011-01-21,4.7105
2011-01-22,4.6662
2011-01-23,4.7251
2011-01-24,4.8932
2011-01-25,3.922
2011-01-26,4.5455
2011-01-27,4.0363
2011-01-28,4.1721
2011-01-29,4.1375
2011-01-30,4.3319
2011-01-31,5.0432
2011-02-01,6.434
2011-02-02,6.2316
2011-02-03,5.9819
2011-02-04,8.3305
2011-02-05,8.5163
2011-02-06,8.0535
2011-02-07,8.9144
2011-02-08,7.4542
2011-02-09,9.8425
2011-02-10,8.3794
2011-02-11,8.9223
2011-02-12,9.2488
2011-02-13,8.8636
2011-02-14,8.7297
2011-02-15,9.5738
2011-02-16,9.5675
2011-02-17,9.2405
2011-02-18,7.186
2011-02-19,5.672
2011-02-20,6.1426
2011-02-21,5.8148
2011-02-22,6.4781
2011-02-23,7.5562
2011-02-24,6.9968
2011-02-25,6.8175
2011-02-26,8.5865
2011-02-27,6.9189
2011-02-28,4.0642
2011-03-01,3.7304
2011-03-02,4.8585
2011-03-03,5.3002
2011-03-04,5.9397
2011-03-05,7.3706
2011-03-06,7.0694
2011-03-07,5.2776
2011-03-08,4.54
2011-03-09,3.8195
2011-03-10,2.8119
2011-03-11,3.1099
2011-03-12,3.458
2011-03-13,2.7884
2011-03-14,2.657
2011-03-15,2.5649
2011-03-16,3.0529
2011-03-17,3.0126
2011-03-18,2.5187
2011-03-19,2.2476
2011-03-20,2.576
2011-03-21,2.8302
2011-03-22,2.4111
2011-03-23,3.3126
