date,realizedLossUsd
2015-02-01,3406753.36
2015-02-02,4969417.38
2015-02-03,2778349.26
2015-02-04,5719091.81
2015-02-05,5374305.63
2015-02-06,2620475.13
2015-02-07,2220844.19
2015-02-08,1975579.42
2015-02-09,4449079.79
2015-02-10,2713449.18
2015-02-11,4687923.73
2015-02-12,2412117.46
2015-02-13,2877478.85
2015-02-14,3355330.03
2015-02-15,2452451.41
2015-02-16,3337284.0
2015-02-17,2140407.2
2015-02-18,2012452.7
2015-02-19,10514891.3
2015-02-20,1311188.46
2015-02-21,985416.99
2015-02-22,2064449.26
2015-02-23,4056906.59
2015-02-24,2755694.31
2015-02-25,6240727.18
2015-02-26,1839825.82
2015-02-27,2786633.02
2015-02-28,3206939.3
2015-03-01,2314637.25
2015-03-02,3084493.45
2015-03-03,9581888.17
2015-03-04,2498494.63
2015-03-05,6835899.29
2015-03-06,1712845.23
2015-03-07,8450954.12
2015-03-08,7413293.27
2015-03-09,9454702.85
2015-03-10,1903569.62
2015-03-11,1708653.49
2015-03-12,787203.04
2015-03-13,6469214.13
2015-03-14,1398761.87
2015-03-15,1107689.46
2015-03-16,3292370.56
2015-03-17,1043879.83
2015-03-18,6099278.03
2015-03-19,5247441.86
2015-03-20,2782444.49
2015-03-21,1834769.75
2015-03-22,1589084.08
2015-03-23,2571690.88
2015-03-24,4274911.51
2015-03-25,4682785.73
2015-03-26,3449962.96
2015-03-27,2909467.11
2015-03-28,1262224.14
2015-03-29,1499868.84
2015-03-30,3105992.3
2015-03-31,2036330.84
2015-04-01,11014997.54
2015-04-02,2780613.82
2015-04-03,2455646.85
2015-04-04,583910.57
2015-04-05,789007.37
2015-04-06,1253151.62
2015-04-07,1611290.56
2015-04-08,2364141.3
2015-04-09,4170250.11
2015-04-10,11002259.08
2015-04-11,1445645.18
2015-04-12,2122615.83
2015-04-13,5403070.82
2015-04-14,4691917.98
2015-04-15,14446078.43
2015-04-16,2259351.47
2015-04-17,2831810.67
2015-04-18,1049705.9
2015-04-19,834508.82
2015-04-20,2629522.32
2015-04-21,3401538.36
2015-04-22,1711530.9
2015-04-23,975016.19
2015-04-24,2001169.11
2015-04-25,1571008.54
2015-04-26,2594455.68
2015-04-27,3730891.12
2015-04-28,1782323.02
2015-04-29,1584719.42
2015-04-30,1125047.84
2015-05-01,1513633.01
2015-05-02,891250.08
2015-05-03,906790.88
2015-05-04,1641868.21
2015-05-05,2244576.82
2015-05-06,1173546.92
2015-05-07,2199619.16
2015-05-08,1106858.36
2015-05-09,1023032.62
2015-05-10,984997.77
2015-05-11,4596416.93
2015-05-12,2196608.76
2015-05-13,1175121.54
