date,reserveRisk
2010-07-19,1.0
2010-07-26,0.4285714286
2010-07-27,0.3
2010-08-06,0.2307692308
2010-08-08,0.1875
2010-08-09,0.1794871795
2010-09-19,0.1333333333
2010-09-28,0.1176470588
2010-10-01,0.1052631579
2010-10-06,0.0952380952
2010-10-24,0.16
2010-10-25,0.1573033708
2010-11-07,0.2764227642
2010-11-21,0.1854304636
2010-11-26,0.156424581
2010-11-27,0.1352657005
2010-12-16,0.1077586207
2010-12-19,0.09375
2010-12-20,0.0954063604
2010-12-21,0.0781758958
2011-01-01,0.0890207715
2011-01-02,0.0817438692
2011-01-03,0.0755667506
2011-01-04,0.0702576112
2011-01-05,0.0656455142
2011-01-06,0.0616016427
2011-01-07,0.0616570328
2011-01-08,0.058076225
2011-01-09,0.0548885077
2011-01-10,0.0535714286
2011-01-11,0.0508474576
2011-01-12,0.046989721
2011-01-13,0.0448807854
2011-01-14,0.0531208499
2011-01-15,0.0492424242
2011-01-16,0.0469314079
2011-01-17,0.0404157044
2011-01-18,0.0345596433
2011-01-19,0.0334051724
2011-01-20,0.0403309204
2011-01-21,0.0416253717
2011-01-22,0.0417853751
2011-01-23,0.0401093892
2011-01-24,0.0368744513
2011-01-25,0.0347457627
2011-01-26,0.0343698854
2011-01-27,0.0332278481
2011-01-28,0.0336391437
2011-01-29,0.0325443787
2011-01-30,0.0342857143
2011-01-31,0.036476256
2011-02-01,0.0465879265
2011-02-02,0.0457107076
2011-02-03,0.0414165666
2011-02-04,0.0463651975
2011-02-05,0.0495103373
2011-02-06,0.0466804979
2011-02-07,0.044124938
2011-02-08,0.0436225699
2011-02-09,0.0461329715
2011-02-10,0.0424426159
2011-02-11,0.0434962717
2011-02-12,0.0428231562
2011-02-13,0.039969547
2011-02-14,0.0391367959
2011-02-15,0.0369848538
2011-02-16,0.0350101971
2011-02-17,0.0296833773
2011-02-18,0.0300703775
2011-02-19,0.0270774977
2011-02-20,0.025477707
2011-02-21,0.0259970458
2011-02-22,0.0258992806
2011-02-23,0.027700056
2011-02-24,0.0248294679
2011-02-25,0.0255251263
2011-02-26,0.0233705531
2011-02-27,0.0218440437
2011-02-28,0.0228344502
2011-03-01,0.0227989328
2011-03-02,0.022290728
2011-03-03,0.0208962155
2011-03-04,0.0206912233
2011-03-05,0.0196165849
2011-03-06,0.019239178
2011-03-07,0.0186655224
2011-03-08,0.0181167053
2011-03-09,0.0190121926
2011-03-10,0.0178607672
2011-03-11,0.0183303447
2011-03-12,0.0174236492
2011-03-13,0.0171252646
2011-03-14,0.0164647994
2011-03-15,0.015831626
2011-03-16,0.0152237711
2011-03-17,0.014461316
2011-03-18,0.0137279372
2011-03-19,0.0130212916
2011-03-20,0.0131967355
2011-03-21,0.013869863
2011-03-22,0.0143459916
2011-03-23,0.0144710579
2011-03-24,0.0144262295
2011-03-25,0.0139023602
2011-03-26,0.0130823229
2011-03-27,0.0124468253
2011-03-28,0.0122938064
2011-03-29,0.0121445042
2011-03-30,0.0118487012
2011-03-31,0.0115615616
2011-04-01,0.0115761354
2011-04-02,0.011443662
2011-04-03,0.0098779779
2011-04-04,0.0103507763
2011-04-05,0.0105263158
2011-04-06,0.0105559465
2011-04-07,0.0104456825
2011-04-08,0.0100648008
2011-04-09,0.00996451
2011-04-10,0.0104011887
2011-04-11,0.0114835091
2011-04-12,0.0122658929
2011-04-13,0.0130174434
2011-04-14,0.012596401
2011-04-15,0.0133164236
2011-04-16,0.0137585991
2011-04-17,0.0141800247
2011-04-18,0.0144610524
2011-04-19,0.0136641496
2011-04-20,0.0142958412
2011-04-21,0.0162715016
2011-04-22,0.0208262206
2011-04-23,0.0182122905
2011-04-24,0.0171315616
2011-04-25,0.0190671119
2011-04-26,0.0200570041
2011-04-27,0.0236033807
2011-04-28,0.0285370982
2011-04-29,0.0338589533
2011-04-30,0.0290249859
2011-05-01,0.0291811052
2011-05-02,0.0297292515
2011-05-03,0.0292879842
2011-05-04,0.027886783
2011-05-05,0.0280775785
2011-05-06,0.0286907858
2011-05-07,0.0294522644
2011-05-08,0.0282485876
2011-05-09,0.0403081972
2011-05-10,0.0373600714
2011-05-11,0.041661182
2011-05-12,0.0508495752
2011-05-13,0.0419534383
2011-05-14,0.0397678294
2011-05-15,0.043375481
2011-05-16,0.0383802072
2011-05-17,0.0345038791
2011-05-18,0.0339726838
2011-05-19,0.0269634889
2011-05-20,0.028343667
2011-05-21,0.0303317964
2011-05-22,0.0309693811
2011-05-23,0.0313971743
2011-05-24,0.0350855646
2011-05-25,0.0346980715
2011-05-26,0.0326107734
2011-05-27,0.0309350919
2011-05-28,0.0301810865
2011-05-29,0.0305816789
2011-05-30,0.0294773849
2011-05-31,0.0314955474
2011-06-01,0.0338457645
2011-06-02,0.0431598063
2011-06-03,0.0525078145
2011-06-04,0.045284052
2011-06-05,0.0479603806
2011-06-06,0.0571161739
2011-06-07,0.066594788
