date,supplyLoss
2016-01-01,3807545.094229
2016-01-02,3862879.709296999
2016-01-03,3984132.0608370006
2016-01-04,3887072.7319920007
2016-01-05,3919645.455614999
2016-01-06,4054722.193421999
2016-01-07,3045785.5340989996
2016-01-08,3384006.970911
2016-01-09,3539658.3905499987
2016-01-10,3602298.2049330007
2016-01-11,3496329.5821600016
2016-01-12,3881139.2668619994
2016-01-13,4252690.038660001
2016-01-14,4415381.294250999
2016-01-15,5612303.040360002
2016-01-16,5029625.697129
2016-01-17,5289974.221065
2016-01-18,5056854.185770333
2016-01-19,5367183.675602002
2016-01-20,4307759.040942667
2016-01-21,4573838.206550999
2016-01-22,5273077.865757
2016-01-23,4947115.867849
2016-01-24,4622198.866191
2016-01-25,4823326.186857
2016-01-26,4965743.497865999
2016-01-27,4657140.363034332
2016-01-28,5502960.117630001
2016-01-29,5352692.0969549995
2016-01-30,5821478.0033720005
2016-01-31,6068050.045064999
2016-02-01,5721092.201575
2016-02-02,5614745.759772334
2016-02-03,5880671.381214
2016-02-04,4545965.323161
2016-02-05,4834782.441018
2016-02-06,5620445.293939
2016-02-07,5554655.733020667
2016-02-08,5930892.963764999
2016-02-09,5584059.461387999
2016-02-10,4983184.65064
2016-02-11,5352413.734986
2016-02-12,4854560.928809
2016-02-13,4374963.599601001
2016-02-14,3895213.4228930008
2016-02-15,4131038.4217950017
2016-02-16,3858031.9964550007
2016-02-17,3743319.9943670016
2016-02-18,3560110.272194
2016-02-19,3731542.601850001
2016-02-20,3193158.772847999
2016-02-21,3321826.4763399996
2016-02-22,3415488.184232998
2016-02-23,3901019.2181670014
2016-02-24,3702035.002364
2016-02-25,3666373.125652002
2016-02-26,3531448.264095003
2016-02-27,3454481.6398319993
2016-02-28,3436926.086476
2016-02-29,3223965.0706559997
2016-03-01,3717882.460154999
2016-03-02,4170902.3071030006
2016-03-03,4423874.903247999
2016-03-04,4765734.097709
2016-03-05,5113837.722406
2016-03-06,4879653.8463119995
2016-03-07,4402123.753569001
2016-03-08,4565351.866334999
2016-03-09,4487053.308563001
2016-03-10,4157658.306087
2016-03-11,3968945.918323001
2016-03-12,4830300.617704999
2016-03-13,4679747.875216
2016-03-14,4368440.088571999
2016-03-15,4329753.064686
2016-03-16,4091757.941370001
2016-03-17,4029852.425819
2016-03-18,5041115.932968
2016-03-19,4983959.860749999
2016-03-20,4727452.404101998
2016-03-21,4789892.943542
2016-03-22,4158789.335809998
2016-03-23,4040070.2841519993
2016-03-24,4602975.135778001
2016-03-25,4252390.988859
2016-03-26,4104448.808591999
2016-03-27,3486201.8983590007
2016-03-28,3776098.462226998
2016-03-29,4577978.478558
2016-03-30,5031137.1751919985
2016-03-31,4464650.302733
2016-04-01,4138097.238590002
2016-04-02,3851300.048333
2016-04-03,3812173.869447
2016-04-04,3940975.6441599983
2016-04-05,3669417.537513001
2016-04-06,3799731.648337001
2016-04-07,3899185.4819410015
2016-04-08,4522632.810784999
2016-04-09,4477581.402455
2016-04-10,3675576.368624
2016-04-11,3494514.4175259992
2016-04-12,3327218.0364269987
2016-04-13,3599658.281963
2016-04-14,3466344.135305997
2016-04-15,3260270.3464320004
2016-04-16,3234750.4150450006
2016-04-17,3598518.6636299994
2016-04-18,3517426.7422469985
2016-04-19,3006839.7370059993
2016-04-20,2885543.924237
2016-04-21,2788855.2142440006
2016-04-22,2978147.0497859996
2016-04-23,2765403.246468
2016-04-24,2657704.9586980008
2016-04-25,2642777.4875879996
2016-04-26,2624850.204256
2016-04-27,3326638.2700389996
2016-04-28,3135370.499775
2016-04-29,2923994.8975679986
2016-04-30,3352233.1642040014
2016-05-01,3061769.735336
