date,supplyProfit
2016-01-01,11224216.035771
2016-01-02,11173631.420703
2016-01-03,11056004.069163
2016-01-04,11155778.398008
2016-01-05,11126978.174385002
2016-01-06,10996213.936578002
2016-01-07,12010000.595901
2016-01-08,11676104.159089
2016-01-09,11522717.739450002
2016-01-10,11463775.425067
2016-01-11,11574056.54784
2016-01-12,11197101.863138
2016-01-13,10827771.09134
2016-01-14,10669624.835749002
2016-01-15,9474533.08964
2016-01-16,10060760.432871
2016-01-17,9802676.908935
2016-01-18,10042740.277563002
2016-01-19,9734627.454398
2016-01-20,10796585.422390668
2016-01-21,10536297.923449002
2016-01-22,9840358.264243
2016-01-23,10167811.928817669
2016-01-24,10497849.763809
2016-01-25,10301559.943143
2016-01-26,10164492.632134002
2016-01-27,10478187.433632337
2016-01-28,9635857.26237
2016-01-29,9789294.033045
2016-01-30,9322845.626628
2016-01-31,9083136.084935002
2016-02-01,9434118.928425
2016-02-02,9547948.703561
2016-02-03,9283514.748786
2016-02-04,10622420.806839
2016-02-05,10340303.688982
2016-02-06,9557640.836061
2016-02-07,9630297.063646
2016-02-08,9257053.166235002
2016-02-09,9606526.668612
2016-02-10,10209451.47936
2016-02-11,9844672.395014
2016-02-12,10349200.201191
2016-02-13,10831722.530399
2016-02-14,11314522.707107
2016-02-15,11084572.708205
2016-02-16,11361029.133545
2016-02-17,11479616.135633
2016-02-18,11667050.857806
2016-02-19,11499243.52815
2016-02-20,12041377.357152002
2016-02-21,11915909.65366
2016-02-22,11825422.945767002
2016-02-23,11343291.911833
2016-02-24,11545226.127636
2016-02-25,11584763.004348
2016-02-26,11723187.865904998
2016-02-27,11803829.490168002
2016-02-28,11824735.043524
2016-02-29,12041021.059344
2016-03-01,11550628.669845002
2016-03-02,11101533.822897
2016-03-03,10851936.226752002
2016-03-04,10513952.012291
2016-03-05,10169598.387594
2016-03-06,10407482.263688
2016-03-07,10888337.356430998
2016-03-08,10728959.243665
2016-03-09,10811457.801436998
2016-03-10,11144727.803913
2016-03-11,11337440.191677
2016-03-12,10479685.492295
2016-03-13,10633563.234784
2016-03-14,10948671.021428
2016-03-15,10991383.045314
2016-03-16,11233178.168629998
2016-03-17,11298608.684181
2016-03-18,10290745.177032
2016-03-19,10351301.24925
2016-03-20,10611458.705898002
2016-03-21,10552493.166458
2016-03-22,11187296.77419
2016-03-23,11309740.825848
2016-03-24,10750510.974222
2016-03-25,11104745.121141
2016-03-26,11256512.301408
2016-03-27,11878284.211641
2016-03-28,11592637.647773
2016-03-29,10794682.631442
2016-03-30,10345198.934808
2016-03-31,10914785.807267
2016-04-01,11245163.871409995
2016-04-02,11535436.061667
2016-04-03,11578112.240553
2016-04-04,11453460.46584
2016-04-05,11728893.572487
2016-04-06,11602504.461662998
2016-04-07,11506525.628058998
2016-04-08,10886678.299215
2016-04-09,10935779.707545
2016-04-10,11742109.741376
2016-04-11,11926996.692474
2016-04-12,12097993.073573
2016-04-13,11829652.828037
2016-04-14,11967066.974694002
2016-04-15,12176615.763568
2016-04-16,12205585.694955
2016-04-17,11845767.44637
2016-04-18,11930209.367753
2016-04-19,12444546.372994
2016-04-20,12569967.185763
2016-04-21,12670430.895756
2016-04-22,12484714.060214
2016-04-23,12701057.863532
2016-04-24,12812056.151302
2016-04-25,12830158.622412
2016-04-26,12851860.905744
2016-04-27,12153297.839961
2016-04-28,12347940.610225
2016-04-29,12563266.212432
2016-04-30,12138677.945795998
2016-05-01,12433016.374664
2016-05-02,11858063.870261
2016-05-03,12336878.446338
2016-05-04,12109151.660799
2016-05-05,12197485.596903998
2016-05-06,12711100.399923
2016-05-07,12498467.902994
2016-05-08,12551522.698546
2016-05-09,12780118.224641
2016-05-10,12073613.686914
2016-05-11,12284355.295788
2016-05-12,12398973.765779998
2016-05-13,12489037.787996
2016-05-14,12509030.205216998
2016-05-15,12555362.158825
2016-05-16,12149192.019132
2016-05-17,11976168.756088998
2016-05-18,12200055.841351
2016-05-19,11232876.159198
2016-05-20,11413017.675852
2016-05-21,11515247.396956
2016-05-22,11171345.764203
2016-05-23,11606102.52695
2016-05-24,11688310.316111
2016-05-25,11982352.361368
2016-05-26,12326349.689676998
2016-05-27,13008936.306573
2016-05-28,13317391.191829
2016-05-29,13175452.658506
2016-05-30,13354809.786549
2016-05-31,13154643.924619
2016-06-01,13404295.072657
2016-06-02,13408818.931268
2016-06-03,13530556.765704
2016-06-04,13604986.1181
2016-06-05,13610250.28921
2016-06-06,13698346.15415
2016-06-07,13513830.37095
2016-06-08,13577921.25924
2016-06-09,13315628.74554
2016-06-10,13484512.6182
2016-06-11,13983890.21757
2016-06-12,14591274.49603
2016-06-13,14804802.142269997
2016-06-14,14494759.73027
2016-06-15,14604778.72575
2016-06-16,14923132.578860002
2016-06-17,14672836.55404
2016-06-18,14703180.04791
2016-06-19,14723008.92651
2016-06-20,14309721.06625
2016-06-21,13610404.751469998
2016-06-22,12847587.88229
2016-06-23,13225500.86508
2016-06-24,13724198.62584
2016-06-25,13762279.09026
2016-06-26,13104371.38795
2016-06-27,13584929.032889998
2016-06-28,13404314.720519995
2016-06-29,13332000.32724
2016-06-30,14122655.435849998
2016-07-01,14167014.09221
2016-07-02,14437706.50341
2016-07-03,13453429.461329998
2016-07-04,14194548.16442
2016-07-05,13566769.506809998
2016-07-06,14086071.52089
2016-07-07,13095702.072980002
2016-07-08,13591612.097909998
2016-07-09,13206793.0761
2016-07-10,13049328.42024
2016-07-11,13187871.039309995
2016-07-12,13910993.23644
2016-07-13,13422354.429980002
2016-07-14,13466406.1037
2016-07-15,13743667.0792
2016-07-16,13594053.11264
2016-07-17,14366563.48543
2016-07-18,14082871.01452
2016-07-19,13948692.22906
2016-07-20,13556094.951559998
2016-07-21,13448697.93622
2016-07-22,12847524.79095
2016-07-23,13090218.30828
2016-07-24,13265048.18288
2016-07-25,13029749.95138
2016-07-26,13004255.64126
2016-07-27,13157077.06782
2016-07-28,13077999.78996
